tpep_pickup_datetime,region_number,n
2016-06-01 00:00:00,1016,1
2016-06-01 00:00:00,1017,1
2016-06-01 00:00:00,1031,1
2016-06-01 00:00:00,1072,1
2016-06-01 00:00:00,1075,26
2016-06-01 00:00:00,1076,30
2016-06-01 00:00:00,1077,19
2016-06-01 00:00:00,1122,1
2016-06-01 00:00:00,1125,39
2016-06-01 00:00:00,1126,71
2016-06-01 00:00:00,1127,163
2016-06-01 00:00:00,1128,181
2016-06-01 00:00:00,1129,219
2016-06-01 00:00:00,1130,326
2016-06-01 00:00:00,1131,56
2016-06-01 00:00:00,1132,3
2016-06-01 00:00:00,1170,2
2016-06-01 00:00:00,1171,5
2016-06-01 00:00:00,1172,7
2016-06-01 00:00:00,1173,6
2016-06-01 00:00:00,1174,14
2016-06-01 00:00:00,1175,5
2016-06-01 00:00:00,1176,15
2016-06-01 00:00:00,1177,245
2016-06-01 00:00:00,1178,279
2016-06-01 00:00:00,1179,243
2016-06-01 00:00:00,1180,225
2016-06-01 00:00:00,1181,258
2016-06-01 00:00:00,1182,240
2016-06-01 00:00:00,1183,31
2016-06-01 00:00:00,1184,2
2016-06-01 00:00:00,1218,1
2016-06-01 00:00:00,1220,1
2016-06-01 00:00:00,1221,8
2016-06-01 00:00:00,1222,10
2016-06-01 00:00:00,1223,16
2016-06-01 00:00:00,1224,19
2016-06-01 00:00:00,1225,2
2016-06-01 00:00:00,1226,1
2016-06-01 00:00:00,1227,165
2016-06-01 00:00:00,1228,220
2016-06-01 00:00:00,1229,229
2016-06-01 00:00:00,1230,313
2016-06-01 00:00:00,1231,435
2016-06-01 00:00:00,1232,559
2016-06-01 00:00:00,1233,251
2016-06-01 00:00:00,1234,89
2016-06-01 00:00:00,1235,30
2016-06-01 00:00:00,1263,1
2016-06-01 00:00:00,1268,1
2016-06-01 00:00:00,1272,9
2016-06-01 00:00:00,1273,14
2016-06-01 00:00:00,1274,5
2016-06-01 00:00:00,1278,3
2016-06-01 00:00:00,1279,6
2016-06-01 00:00:00,1280,43
2016-06-01 00:00:00,1281,378
2016-06-01 00:00:00,1282,425
2016-06-01 00:00:00,1283,48
2016-06-01 00:00:00,1284,8
2016-06-01 00:00:00,1285,79
2016-06-01 00:00:00,1286,67
2016-06-01 00:00:00,1287,24
2016-06-01 00:00:00,1319,3
2016-06-01 00:00:00,1320,3
2016-06-01 00:00:00,1321,1
2016-06-01 00:00:00,1322,4
2016-06-01 00:00:00,1323,5
2016-06-01 00:00:00,1324,3
2016-06-01 00:00:00,1325,1
2016-06-01 00:00:00,1326,27
2016-06-01 00:00:00,1327,41
2016-06-01 00:00:00,1328,5
2016-06-01 00:00:00,1330,2
2016-06-01 00:00:00,1331,11
2016-06-01 00:00:00,1332,104
2016-06-01 00:00:00,1333,99
2016-06-01 00:00:00,1334,72
2016-06-01 00:00:00,1335,9
2016-06-01 00:00:00,1336,16
2016-06-01 00:00:00,1337,39
2016-06-01 00:00:00,1338,18
2016-06-01 00:00:00,1339,5
2016-06-01 00:00:00,1369,1
2016-06-01 00:00:00,1370,1
2016-06-01 00:00:00,1371,2
2016-06-01 00:00:00,1372,6
2016-06-01 00:00:00,1373,7
2016-06-01 00:00:00,1374,5
2016-06-01 00:00:00,1375,2
2016-06-01 00:00:00,1376,17
2016-06-01 00:00:00,1377,11
2016-06-01 00:00:00,1378,10
2016-06-01 00:00:00,1379,6
2016-06-01 00:00:00,1380,10
2016-06-01 00:00:00,1381,5
2016-06-01 00:00:00,1382,12
2016-06-01 00:00:00,1383,34
2016-06-01 00:00:00,1384,115
2016-06-01 00:00:00,1385,43
2016-06-01 00:00:00,1386,23
2016-06-01 00:00:00,1387,10
2016-06-01 00:00:00,1388,17
2016-06-01 00:00:00,1389,13
2016-06-01 00:00:00,1390,12
2016-06-01 00:00:00,1391,3
2016-06-01 00:00:00,1421,3
2016-06-01 00:00:00,1423,1
2016-06-01 00:00:00,1424,6
2016-06-01 00:00:00,1425,7
2016-06-01 00:00:00,1426,20
2016-06-01 00:00:00,1427,4
2016-06-01 00:00:00,1430,1
2016-06-01 00:00:00,1431,14
2016-06-01 00:00:00,1432,4
2016-06-01 00:00:00,1434,1
2016-06-01 00:00:00,1435,1
2016-06-01 00:00:00,1436,15
2016-06-01 00:00:00,1437,14
2016-06-01 00:00:00,1438,6
2016-06-01 00:00:00,1439,3
2016-06-01 00:00:00,1440,3
2016-06-01 00:00:00,1441,4
2016-06-01 00:00:00,1442,2
2016-06-01 00:00:00,1443,4
2016-06-01 00:00:00,1471,1
2016-06-01 00:00:00,1472,4
2016-06-01 00:00:00,1473,1
2016-06-01 00:00:00,1474,1
2016-06-01 00:00:00,1475,6
2016-06-01 00:00:00,1476,2
2016-06-01 00:00:00,1479,1
2016-06-01 00:00:00,1480,3
2016-06-01 00:00:00,1481,1
2016-06-01 00:00:00,1482,13
2016-06-01 00:00:00,1483,5
2016-06-01 00:00:00,1484,2
2016-06-01 00:00:00,1488,1
2016-06-01 00:00:00,1489,2
2016-06-01 00:00:00,1490,1
2016-06-01 00:00:00,1493,1
2016-06-01 00:00:00,1494,3
2016-06-01 00:00:00,1495,1
2016-06-01 00:00:00,1530,7
2016-06-01 00:00:00,1531,2
2016-06-01 00:00:00,1532,10
2016-06-01 00:00:00,1533,6
2016-06-01 00:00:00,1534,2
2016-06-01 00:00:00,1536,1
2016-06-01 00:00:00,1545,1
2016-06-01 00:00:00,1572,1
2016-06-01 00:00:00,1580,4
2016-06-01 00:00:00,1581,2
2016-06-01 00:00:00,1582,1
2016-06-01 00:00:00,1584,1
2016-06-01 00:00:00,1597,1
2016-06-01 00:00:00,1630,1
2016-06-01 00:00:00,1631,3
2016-06-01 00:00:00,1632,1
2016-06-01 00:00:00,1633,1
2016-06-01 00:00:00,1638,1
2016-06-01 00:00:00,1643,3
2016-06-01 00:00:00,1679,1
2016-06-01 00:00:00,1680,3
2016-06-01 00:00:00,1681,4
2016-06-01 00:00:00,1682,1
2016-06-01 00:00:00,1684,1
2016-06-01 00:00:00,1729,1
2016-06-01 00:00:00,1733,6
2016-06-01 00:00:00,1734,262
2016-06-01 00:00:00,1743,1
2016-06-01 00:00:00,1744,1
2016-06-01 00:00:00,1777,1
2016-06-01 00:00:00,1779,1
2016-06-01 00:00:00,1781,1
2016-06-01 00:00:00,1783,107
2016-06-01 00:00:00,1790,1
2016-06-01 00:00:00,1824,1
2016-06-01 00:00:00,1827,1
