region,summary
1075,72.0
1076,139.0
1077,90.0
1125,68.0
1126,189.0
1127,259.0
1128,286.0
1129,329.0
1130,412.0
1131,145.0
1132,48.0
1172,5.0
1173,20.0
1174,24.0
1175,10.0
1176,19.0
1177,249.0
1178,403.0
1179,463.0
1180,530.0
1181,704.0
1182,406.0
1183,96.0
1184,19.0
1221,5.0
1222,9.0
1223,14.0
1224,24.0
1225,5.0
1227,149.0
1228,302.0
1229,412.0
1230,641.0
1231,670.0
1232,738.0
1233,508.0
1234,339.0
1235,149.0
1272,8.0
1273,11.0
1274,6.0
1278,13.0
1279,30.0
1280,180.0
1281,647.0
1282,862.0
1283,223.0
1284,90.0
1285,251.0
1286,209.0
1287,69.0
1326,22.0
1327,23.0
1331,46.0
1332,333.0
1333,473.0
1334,433.0
1335,89.0
1336,64.0
1337,72.0
1338,34.0
1339,10.0
1376,12.0
1377,8.0
1378,7.0
1380,8.0
1382,23.0
1383,233.0
1384,404.0
1385,219.0
1386,36.0
1387,27.0
1388,21.0
1389,13.0
1390,14.0
1426,5.0
1431,19.0
1434,9.0
1435,9.0
1436,29.0
1437,29.0
1438,11.0
1439,7.0
1441,5.0
1442,7.0
1480,11.0
1482,11.0
1483,11.0
1530,12.0
1532,7.0
1533,10.0
1580,5.0
1630,5.0
1684,13.0
1733,6.0
1734,209.0
1783,180.0
2068,93.0
2069,11.0
2118,144.0
2119,49.0
2168,37.0
